visitor_id,name,host_badge_id,host_name,facility_id,entry_time,exit_time,flagged_unescorted_restricted_access
VIS-0021,Morgan Mehta,BADGE-0026,Kiran Chatterjee,1,2025-12-05 12:55:00,2025-12-05 14:12:00,False
VIS-0022,Sam Fernandes,BADGE-0002,Kiran Khurana,1,2025-12-22 08:26:00,2025-12-22 10:48:00,False
VIS-0023,Jamie Almeida,BADGE-0056,Divya Nair,1,2025-12-11 14:04:00,2025-12-11 15:46:00,False
VIS-0024,Jordan D'Souza,BADGE-0089,Neha Nair,1,2025-12-11 11:02:00,2025-12-11 12:49:00,False
VIS-0025,Taylor Fernandes,BADGE-0035,Sneha Chatterjee,1,2025-12-22 08:04:00,2025-12-22 09:49:00,False
VIS-0026,Jamie Pinto,BADGE-0003,Harsh Singh,1,2025-12-23 07:00:00,2025-12-23 08:29:00,False
VIS-0027,Jordan D'Souza,BADGE-0007,Pooja Khurana,1,2025-12-15 10:55:00,2025-12-15 13:03:00,False
VIS-0028,Morgan Almeida,BADGE-0087,Suresh Sivam,1,2025-12-12 08:59:00,2025-12-12 11:23:00,True
VIS-0029,Morgan Pinto,BADGE-0086,Suresh Chatterjee,1,2025-12-30 08:21:00,2025-12-30 10:43:00,False
VIS-0030,Jamie Costa,BADGE-0052,Anita Das,1,2025-12-05 11:50:00,2025-12-05 12:45:00,False
VIS-0031,Chris Almeida,BADGE-0086,Suresh Chatterjee,1,2025-12-02 11:36:00,2025-12-02 12:31:00,True
VIS-0032,Taylor Fernandes,BADGE-0065,Anita Menon,1,2025-12-12 10:05:00,2025-12-12 10:51:00,False
VIS-0033,Jamie D'Souza,BADGE-0010,Aakash Menon,1,2025-12-22 10:37:00,2025-12-22 11:42:00,False
VIS-0034,Riley Pinto,BADGE-0054,Kiran Reddy,1,2025-12-24 10:46:00,2025-12-24 12:49:00,False
VIS-0035,Jamie Fernandes,BADGE-0082,Cathy Khurana,1,2025-12-15 10:24:00,2025-12-15 12:23:00,False
VIS-0036,Riley Shah,BADGE-0067,Sneha Iyer,1,2025-12-30 08:33:00,2025-12-30 09:30:00,False
VIS-0037,Jamie D'Souza,BADGE-0071,Harsh Khurana,1,2025-12-29 13:20:00,2025-12-29 14:36:00,False
VIS-0038,Taylor Almeida,BADGE-0008,Pooja Nair,1,2025-12-18 07:00:00,2025-12-18 09:09:00,False
VIS-0039,Alex Fernandes,BADGE-0004,Pooja Gosavi,1,2025-12-12 09:44:00,2025-12-12 11:45:00,False
VIS-0040,Chris Mehta,BADGE-0050,Divya Khurana,1,2025-12-16 09:07:00,2025-12-16 10:13:00,False
VIS-0041,Chris Mehta,BADGE-0075,Pooja Gosavi,1,2025-12-11 07:53:00,2025-12-11 10:14:00,False
VIS-0042,Jamie Pinto,BADGE-0044,Suresh Menon,1,2025-12-04 11:59:00,2025-12-04 13:26:00,False
VIS-0043,Morgan Mehta,BADGE-0067,Sneha Iyer,1,2025-12-24 07:00:00,2025-12-24 08:51:00,False
VIS-0044,Morgan D'Souza,BADGE-0086,Suresh Chatterjee,1,2025-12-19 09:16:00,2025-12-19 11:32:00,False
VIS-0045,Morgan Rao,BADGE-0038,Cathy Singh,1,2025-12-23 11:29:00,2025-12-23 12:30:00,False
VIS-0046,Alex Almeida,BADGE-0001,Harsh Sharma,1,2025-12-30 13:07:00,2025-12-30 14:57:00,False
VIS-0047,Morgan Shah,BADGE-0019,Satha Das,1,2025-12-26 07:55:00,2025-12-26 09:19:00,False
VIS-0048,Riley Shah,BADGE-0004,Pooja Gosavi,1,2025-12-15 12:47:00,2025-12-15 15:15:00,False
VIS-0049,Jamie Almeida,BADGE-0027,Pooja Khurana,1,2025-12-12 10:36:00,2025-12-12 11:15:00,False
VIS-0050,Alex Almeida,BADGE-0017,Meera Patel,1,2025-12-17 10:30:00,2025-12-17 11:39:00,False
VIS-0051,Riley D'Souza,BADGE-0052,Anita Das,1,2025-12-26 08:25:00,2025-12-26 09:02:00,False
VIS-0052,Jamie D'Souza,BADGE-0047,Meera Menon,1,2025-12-26 18:00:00,2025-12-26 19:29:00,False
VIS-0053,Alex Fernandes,BADGE-0016,Vikram Gosavi,1,2025-12-29 14:24:00,2025-12-29 15:34:00,False
VIS-0054,Sam Pinto,BADGE-0090,Ryan Patel,1,2025-12-16 13:43:00,2025-12-16 15:02:00,False
VIS-0055,Chris Fernandes,BADGE-0082,Cathy Khurana,1,2025-12-05 11:47:00,2025-12-05 12:58:00,False
VIS-0056,Morgan Pinto,BADGE-0057,Meera Rao,1,2025-12-08 09:38:00,2025-12-08 11:22:00,False
VIS-0057,Sam Rao,BADGE-0033,Rohan Sivam,1,2025-12-18 11:18:00,2025-12-18 13:21:00,False
VIS-0058,Jamie Shah,BADGE-0052,Anita Das,1,2025-12-03 11:38:00,2025-12-03 14:07:00,False
VIS-0059,Morgan D'Souza,BADGE-0073,Priya Verma,1,2025-12-05 09:26:00,2025-12-05 10:36:00,False
VIS-0060,Alex Rao,BADGE-0066,Harsh Gosavi,1,2025-12-10 08:28:00,2025-12-10 09:31:00,False
